Agency,Fund,FY15 Mayors Proposed Budget
ADVISORY NEIGHBORHOOD COMMISSION,GENERAL FUND,300
ADVISORY NEIGHBORHOOD COMMISSION,GENERAL FUND,2000
ADVISORY NEIGHBORHOOD COMMISSION,GENERAL FUND,5000
ADVISORY NEIGHBORHOOD COMMISSION,GENERAL FUND,5400
ADVISORY NEIGHBORHOOD COMMISSION,GENERAL FUND,23893.72
ADVISORY NEIGHBORHOOD COMMISSION,GENERAL FUND,46102.28
ADVISORY NEIGHBORHOOD COMMISSION,GENERAL FUND,163628
ADVISORY NEIGHBORHOOD COMMISSION,GENERAL FUND,677688.01
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,4500
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,5000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,9500
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,10067
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,10689.61
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,11649.15
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,12500
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,15000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,15000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,20000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,25000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,26050
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,30000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,30000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,31668.26
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,34837.15
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,35000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,35000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,36098
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,39000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,44440.18
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,51640.61
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,56276.11
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,60000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,67500
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,71000.01
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,83308.44
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,91106.53
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,112741.7
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,125973.43
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,126218.26
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,131378.4
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,145848.28
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,150000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,155000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,158472.48
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,228228.43
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,243394
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,275000
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,316417.46
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,350435.15
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,482349.02
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,619719.28
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,625889.84
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,1067033.58
ALCOHOLIC BEVERAGE REGULATION ADMIN.,GENERAL FUND,1170000
BASEBALL,ENTERPRISE GENERAL FUND,5572000
BASEBALL,ENTERPRISE GENERAL FUND,5572000.01
BASEBALL,ENTERPRISE GENERAL FUND,27828000
BASEBALL,ENTERPRISE GENERAL FUND,29828000.01
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,484.92
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,1000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,1000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,1212.31
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,1622.59
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,2000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,2107.51
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,2238.01
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,2266
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,2424.62
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,2500
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,2500
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,2500
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,3207.86
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,5000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,5000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,5000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,5501.72
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,5665
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,6000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,7582.2
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,8459.3
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,9848.2
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,10000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,10457.99
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,10863.05
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,11330
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,12000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,14989.99
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,15000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,15000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,16177.72
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,20000
BD OF REAL PROPERTY ASSESSMENT & APPEALS,GENERAL FUND,25708.98
